Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Year
1,Alaa Abdelnaby,PF,22,POR,5.0,13.0,6.3,.333,.000,.000,8.8,18.9,13.7,0.0,0.0,0.0,0.0,19.8,,0.0,0.0,0.0,-0.035,,-2.6,-4.6,-7.3,0.0,1991
2,Mark Aguirre,SF,31,DET,15.0,397.0,19.4,.584,.185,.287,4.5,12.8,8.5,12.8,1.6,0.2,9.1,24.2,,1.0,0.3,1.3,0.157,,3.9,1.1,5.0,0.7,1991
3,Danny Ainge,SG,31,POR,16.0,277.0,12.4,.546,.343,.267,0.4,12.0,6.0,17.5,2.2,1.0,17.0,21.9,,0.0,0.3,0.4,0.065,,-0.6,0.9,0.3,0.2,1991
4,Ron Anderson,SF,32,PHI,8.0,223.0,9.2,.457,.057,.216,5.2,6.5,5.9,14.5,1.4,0.0,11.1,23.0,,-0.2,0.1,-0.1,-0.017,,-2.8,-2.5,-5.3,-0.2,1991
5,Willie Anderson,SG,24,SAS,4.0,159.0,11.8,.515,.147,.191,1.5,12.9,7.1,18.8,1.8,0.8,15.0,22.6,,-0.1,0.1,0.0,0.007,,-1.9,0.3,-1.6,0.0,1991
6,B.J. Armstrong,PG,23,CHI,17.0,273.0,17.2,.574,.071,.357,2.4,9.9,6.3,21.9,3.8,0.3,13.8,16.0,,0.5,0.5,1.0,0.176,,1.8,2.6,4.5,0.4,1991
7,Vincent Askew,SG,24,GSW,6.0,41.0,12.9,.425,.000,.400,14.0,17.3,15.7,6.5,2.3,0.0,0.0,18.5,,0.0,0.0,0.1,0.064,,-1.7,-2.2,-3.9,0.0,1991
8,Thurl Bailey,PF,29,UTA,9.0,228.0,6.2,.453,.000,.391,5.9,10.0,8.0,5.6,0.7,1.7,13.8,16.8,,-0.2,0.3,0.1,0.017,,-3.6,-0.4,-3.9,-0.1,1991
9,Charles Barkley*,SF,27,PHI,8.0,326.0,26.8,.630,.160,.600,12.2,19.5,16.0,28.4,2.5,0.6,13.7,26.6,,1.1,0.4,1.5,0.217,,7.8,1.1,8.9,0.9,1991
10,Dana Barros,PG,23,SEA,3.0,25.0,39.5,.779,.385,.308,4.8,14.5,9.6,46.8,6.0,0.0,16.9,30.4,,0.1,0.0,0.2,0.366,,14.1,6.1,20.2,0.1,1991
11,John Battle,SG,28,ATL,5.0,107.0,13.3,.527,.114,.568,3.9,5.7,4.8,19.1,0.5,0.0,14.1,26.3,,0.1,0.0,0.1,0.042,,1.6,-2.1,-0.5,0.0,1991
12,William Bedford,C,27,DET,8.0,65.0,7.4,.315,.083,.583,14.6,23.2,18.7,8.6,1.6,4.0,11.7,22.9,,-0.2,0.1,-0.1,-0.05,,-6.1,0.2,-5.9,-0.1,1991
13,Benoit Benjamin,C,26,SEA,5.0,163.0,15.0,.626,.000,.780,5.1,19.3,12.2,0.9,0.9,5.5,16.6,17.3,,0.2,0.2,0.4,0.125,,0.2,1.4,1.6,0.1,1991
14,Larry Bird*,SF,34,BOS,10.0,396.0,15.8,.490,.138,.336,2.4,17.6,10.4,23.7,1.7,0.5,9.8,21.4,,0.3,0.4,0.6,0.078,,1.4,0.2,1.6,0.4,1991
15,Manute Bol,C,28,PHI,8.0,109.0,9.3,.546,.000,.500,4.7,16.5,10.8,1.4,0.5,7.0,18.5,11.7,,0.0,0.1,0.1,0.043,,-3.4,2.1,-1.3,0.0,1991
16,Frank Brickowski,PF,31,MIL,3.0,110.0,13.2,.538,.044,.311,5.3,26.1,14.8,4.6,0.5,1.3,10.5,23.1,,0.0,0.1,0.1,0.025,,-1.4,-1.0,-2.3,0.0,1991
17,Dee Brown,PG,22,BOS,11.0,284.0,16.2,.545,.046,.315,3.8,13.8,9.0,21.8,2.0,1.3,15.2,22.3,,0.2,0.3,0.4,0.075,,0.6,1.4,2.0,0.3,1991
18,Mike Brown,C,27,UTA,9.0,223.0,12.3,.591,.000,.679,10.9,22.4,17.0,3.3,0.7,0.3,14.2,16.7,,0.3,0.3,0.6,0.139,,-1.5,0.2,-1.2,0.0,1991
19,Tony Brown,SG,30,UTA,4.0,29.0,8.2,.563,.250,.000,8.4,3.7,5.9,5.2,0.0,0.0,11.1,13.6,,0.0,0.0,0.0,0.06,,-1.9,-2.3,-4.2,0.0,1991
20,Mark Bryant,PF,25,POR,14.0,137.0,9.1,.585,.000,.727,11.7,16.1,13.8,2.0,0.7,0.5,12.1,10.4,,0.2,0.1,0.3,0.123,,-2.3,-0.5,-2.8,0.0,1991
21,Michael Cage,C,29,SEA,5.0,80.0,13.6,.582,.000,1.214,13.4,18.2,15.8,3.5,1.9,1.7,12.3,13.1,,0.2,0.1,0.3,0.15,,0.0,0.6,0.6,0.1,1991
22,Elden Campbell,PF,22,LAL,14.0,138.0,16.6,.639,.000,.395,7.2,18.3,12.8,3.6,2.3,3.7,11.9,16.6,,0.2,0.2,0.4,0.143,,-0.4,3.1,2.7,0.2,1991
23,Joe Barry Carroll,C,32,PHO,2.0,15.0,13.8,.474,.000,.125,0.0,8.3,3.9,30.2,0.0,4.3,10.6,27.4,,0.0,0.0,0.0,-0.066,,0.5,0.8,1.3,0.0,1991
24,Bill Cartwright,C,33,CHI,17.0,511.0,11.1,.543,.000,.237,6.4,13.2,9.9,8.8,1.0,1.0,12.3,15.5,,0.4,0.8,1.2,0.11,,-1.1,-0.1,-1.2,0.1,1991
